<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.05.02	13:00:00	26.364	26.365	26.134	26.225	3182	0	11
2024.05.02	14:00:00	26.228	26.343	26.201	26.290	2837	0	11
2024.05.02	15:00:00	26.289	26.326	26.059	26.080	4605	0	19
2024.05.02	16:00:00	26.081	26.348	26.008	26.302	5700	0	19
2024.05.02	17:00:00	26.307	26.757	26.291	26.705	6191	0	19
2024.05.02	18:00:00	26.705	26.749	26.479	26.513	5089	0	7
2024.05.02	19:00:00	26.515	26.618	26.475	26.566	2864	0	11
2024.05.02	20:00:00	26.565	26.680	26.534	26.674	2740	0	11
2024.05.02	21:00:00	26.675	26.716	26.614	26.703	1974	0	8
2024.05.02	22:00:00	26.708	26.716	26.600	26.650	2031	0	7
2024.05.02	23:00:00	26.643	26.658	26.592	26.646	911	0	15
